pk_1,pk_2,pk_3,pk_4,pk_5,level_5,Data_source1_mismatch,Data_source_2_mismatch
196,10322,38,14621,103311162,data_1,188.0,178.0
196,10322,41,13263,103310360,data_1,5.0,4.0
196,10322,44,11163,118605596,data_1,4.0,2.0
196,10322,44,11986,121662517,data_1,7.0,6.0
196,10322,51,15332,119716065,data_1,11.0,10.0
196,10322,51,15332,122550011,data_1,8.0,7.0
196,10322,81,11270,116235252,data_1,1.0,2.0
196,10333,38,11299,102216808,data_1,13.0,3.0
196,10334,22,11002,109602134,data_1,9.0,8.0
196,10334,22,11007,100012024,data_1,68.0,67.0
196,10334,22,11007,100012839,data_1,106.0,124.0
196,10334,22,11016,106139573,data_1,34.0,45.0
196,10334,22,11041,102973188,data_1,4.0,2.0
196,10334,22,11051,105000318,data_1,57.0,56.0
196,10334,22,12182,102291257,data_1,5.0,17.0
196,10334,22,12216,106139279,data_1,34.0,33.0
196,10334,22,12283,105076365,data_1,35.0,34.0
196,10334,22,12283,105323745,data_1,13.0,12.0
196,10334,22,12283,115417314,data_1,19.0,18.0
196,10334,22,13036,106140105,data_1,5.0,10.0
196,10334,22,15770,118199407,data_1,17.0,16.0
196,10334,24,11137,101052652,data_1,3.0,1.0
196,10334,32,13291,104125621,data_1,14.0,13.0
196,10334,34,11045,101003507,data_1,43.0,42.0
196,10334,34,12232,105026651,data_1,21.0,12.0
196,10334,34,12238,103479109,data_1,93.0,91.0
196,10334,34,12238,105000032,data_1,19.0,18.0
196,10334,34,12238,105102544,data_1,79.0,78.0
196,10334,34,12238,105321912,data_1,39.0,34.0
196,10334,34,12243,120748477,data_1,37.0,35.0
196,10334,38,11299,102216808,data_1,40.0,33.0
196,10334,38,11299,102671157,data_1,47.0,46.0
196,10334,38,11299,116213763,data_1,22.0,21.0
196,10335,22,11002,109602134,data_1,15.0,14.0
196,10335,22,11007,100012024,data_1,9.0,8.0
196,10335,22,11007,100012839,data_1,18.0,25.0
196,10335,22,12216,106139279,data_1,14.0,12.0
196,10335,34,11045,101003507,data_1,13.0,61.0
196,10335,34,12230,103502774,data_1,33.0,32.0
196,10335,34,12238,103479109,data_1,50.0,48.0
196,10335,34,12238,105000032,data_1,36.0,34.0
196,10335,34,12238,105102544,data_1,73.0,62.0
196,10335,34,12243,120748477,data_1,37.0,35.0
196,10335,34,12959,102699787,data_1,12.0,11.0
196,10335,38,11299,102014458,data_1,6.0,5.0
196,10335,38,11299,121778493,data_1,14.0,13.0
215,972,17,11064,103217263,data_1,29.0,27.0
215,972,17,11064,111721140,data_1,21.0,20.0
215,972,17,11064,112481488,data_1,4.0,3.0
215,972,17,11064,120042229,data_1,64.0,63.0
215,972,18,11740,119122548,data_1,9.0,7.0
215,972,18,11740,119446449,data_1,175.0,174.0
215,972,19,11253,101282911,data_1,25.0,23.0
215,972,19,11253,109456855,data_1,8.0,7.0
215,972,19,11253,109861547,data_1,8.0,7.0
215,972,19,11253,114173306,data_1,27.0,26.0
215,972,26,11069,115633491,data_1,22.0,21.0
215,972,30,13731,101735496,data_1,9.0,8.0
215,972,30,13731,101735504,data_1,33.0,29.0
215,972,30,13731,101826832,data_1,21.0,20.0
215,972,30,13731,101826840,data_1,23.0,22.0
215,972,30,13731,109288731,data_1,3.0,1.0
215,972,30,13731,109826318,data_1,15.0,14.0
215,972,30,13731,112537589,data_1,3.0,2.0
215,972,30,13731,112957806,data_1,22.0,21.0
215,972,30,13731,112957822,data_1,29.0,28.0
215,972,30,13731,115444028,data_1,12.0,10.0
215,972,30,13731,119419069,data_1,72.0,71.0
215,972,30,13731,120007399,data_1,8.0,7.0
215,972,30,13731,120475389,data_1,2.0,1.0
215,972,30,13731,122069079,data_1,9.0,8.0
215,972,30,13731,122069159,data_1,151.0,150.0
215,972,30,13731,122069380,data_1,261.0,250.0
215,972,30,13731,122069410,data_1,220.0,215.0
215,972,30,13731,122089509,data_1,89.0,86.0
215,972,30,13731,122643206,data_1,33.0,31.0
215,972,30,13731,122734198,data_1,17.0,13.0
215,972,30,13731,122734228,data_1,4.0,1.0
215,972,30,13731,122734937,data_1,22.0,21.0
215,972,30,13731,122756868,data_1,21.0,16.0
215,972,30,13731,122756973,data_1,74.0,72.0
215,972,30,13731,122756981,data_1,4.0,-1.0
215,972,30,13731,122949216,data_1,24.0,23.0
215,972,30,13731,122996133,data_1,145.0,139.0
215,972,30,13731,122996230,data_1,16.0,13.0
215,972,30,13731,123068876,data_1,13.0,11.0
215,972,30,13731,123069007,data_1,11.0,10.0
215,972,30,13731,123069082,data_1,97.0,79.0
215,972,38,11087,120103816,data_1,382.0,381.0
215,972,38,11349,120105028,data_1,11.0,21.0
215,972,38,11349,120105168,data_1,25.0,24.0
215,972,38,15843,122159622,data_1,244.0,232.0
215,972,40,12619,110903889,data_1,66.0,65.0
215,972,51,15332,119716065,data_1,11.0,10.0
215,972,51,15332,122550011,data_1,25.0,24.0
215,983,22,11002,106148025,data_1,924.0,912.0
215,983,22,11007,100017484,data_1,108.0,102.0
