pk_1,pk_2,pk_3,pk_4,pk_5,level_5,Data_source1_match,Data_source_2_match
175,1069,32,11688,122905448,data_1,2.0,2.0
175,1069,32,11688,122905448,data_2,30.71,30.71
175,1069,38,11090,102387726,data_1,220.0,220.0
175,1069,38,11090,102387726,data_2,2355.38,2355.38
175,1069,38,11299,102671157,data_1,39.0,39.0
175,1069,38,11299,102671157,data_2,257.47,257.47
175,1069,39,14789,122924108,data_1,15.0,15.0
175,1069,39,14789,122924108,data_2,900.0,900.0
175,1069,41,13263,103656968,data_1,30.0,30.0
175,1069,41,13263,103656968,data_2,768.79,768.79
175,1069,41,13263,103657085,data_1,24.0,24.0
175,1069,41,13263,103657085,data_2,865.56,865.56
175,1069,44,11163,112462785,data_1,18.0,18.0
175,1069,44,11163,112462785,data_2,611.13,611.13
175,1069,44,11163,112470583,data_1,9.0,9.0
175,1069,44,11163,112470583,data_2,417.46,417.46
175,1069,44,11163,118605596,data_1,16.0,16.0
175,1069,44,11163,118605596,data_2,566.18,566.18
175,1069,44,11986,122305882,data_1,8.0,8.0
175,1069,44,11986,122305882,data_2,97.22,97.22
175,1069,45,12111,101798296,data_1,2.0,2.0
175,1069,45,12111,101798296,data_2,424.88,424.88
175,1069,45,12111,101798312,data_1,1.0,1.0
175,1069,45,12111,101798312,data_2,287.09,287.09
175,1069,45,12111,101798320,data_1,1.0,1.0
175,1069,45,12111,101798320,data_2,153.52,153.52
175,1069,45,12111,101798452,data_1,1.0,1.0
175,1069,45,12111,101798452,data_2,131.39,131.39
175,1069,56,11163,101606291,data_1,1.0,1.0
175,1069,56,11163,101606291,data_2,16.56,16.56
175,1069,56,11163,101606333,data_1,2.0,2.0
175,1069,56,11163,101606333,data_2,29.68,29.68
175,1069,56,11163,101609857,data_1,8.0,8.0
175,1069,56,11163,101609857,data_2,252.56,252.56
175,1069,56,11163,101609865,data_1,10.0,10.0
175,1069,56,11163,101609865,data_2,315.0,315.0
175,1069,56,11163,101609907,data_1,3.0,3.0
175,1069,56,11163,101609907,data_2,98.25,98.25
175,1069,56,11163,101609915,data_1,4.0,4.0
175,1069,56,11163,101609915,data_2,126.4,126.4
175,1069,56,11163,101609931,data_1,3.0,3.0
175,1069,56,11163,101609931,data_2,97.62,97.62
175,1069,56,11163,101609939,data_1,8.0,8.0
175,1069,56,11163,101609939,data_2,253.04,253.04
175,1069,56,11163,111997928,data_1,1.0,1.0
175,1069,56,11163,111997928,data_2,5.36,5.36
175,1069,56,11163,111998019,data_1,4.0,4.0
175,1069,56,11163,111998019,data_2,21.03,21.03
175,1069,56,11163,111998177,data_1,5.0,5.0
175,1069,56,11163,111998177,data_2,28.77,28.77
175,1069,68,12464,101950517,data_1,4.0,4.0
175,1069,68,12464,101950517,data_2,437.01,437.01
175,1069,68,12464,101950657,data_1,2.0,2.0
175,1069,68,12464,101950657,data_2,250.78,250.78
175,1069,68,12464,101950723,data_1,3.0,3.0
175,1069,68,12464,101950723,data_2,336.82,336.82
175,1069,68,12464,111398739,data_1,1.0,1.0
175,1069,68,12464,111398739,data_2,165.43,165.43
175,1069,68,12464,111398986,data_1,3.0,3.0
175,1069,68,12464,111398986,data_2,347.98,347.98
175,1069,68,12464,122186751,data_1,1.0,1.0
175,1069,68,12464,122186751,data_2,2476.92,2476.92
175,1069,71,12281,108667356,data_1,1.0,1.0
175,1069,71,12281,108667356,data_2,93.18,93.18
175,1069,72,11159,101973675,data_1,3.0,3.0
175,1069,72,11159,101973675,data_2,98.29,98.29
175,1069,72,11159,115552203,data_1,2.0,2.0
175,1069,72,11159,115552203,data_2,109.26,109.26
175,1069,79,11025,119338583,data_1,2.0,2.0
175,1069,79,11025,119338583,data_2,1171.92,1171.92
175,1069,79,11025,119338656,data_1,2.0,2.0
175,1069,79,11025,119338656,data_2,1004.35,1004.35
175,1069,79,11025,122042919,data_1,1.0,1.0
175,1069,79,11025,122042919,data_2,673.78,673.78
175,1069,79,11025,122043020,data_1,1.0,1.0
175,1069,79,11025,122043020,data_2,709.1,709.1
175,1069,81,11270,116235252,data_1,5.0,5.0
175,1069,81,11270,116235252,data_2,147.5,147.5
175,1069,83,11019,111418898,data_1,2.0,2.0
175,1069,83,11019,111418898,data_2,6902.99,6902.99
175,1069,83,11019,111436109,data_1,3.0,3.0
175,1069,83,11019,111436109,data_2,6655.09,6655.09
175,1069,83,11019,114771602,data_1,1.0,1.0
175,1069,83,11019,114771602,data_2,2708.01,2708.01
175,1069,84,11019,101369668,data_1,1.0,1.0
175,1069,84,11019,101369668,data_2,497.09,497.09
175,1069,84,11019,101495265,data_1,1.0,1.0
175,1069,84,11019,101495265,data_2,280.53,280.53
175,1069,84,11019,101797546,data_1,2.0,2.0
175,1069,84,11019,101797546,data_2,868.24,868.24
175,1069,84,11019,111326479,data_1,2.0,2.0
175,1069,84,11019,111326479,data_2,614.71,614.71
175,1069,84,11019,111326509,data_1,1.0,1.0
175,1069,84,11019,111326509,data_2,210.0,210.0
175,1069,84,11019,111338549,data_1,1.0,1.0
175,1069,84,11019,111338549,data_2,209.78,209.78
175,1069,84,11019,111345467,data_1,1.0,1.0
175,1069,84,11019,111345467,data_2,321.65,321.65
175,1069,84,11019,111506266,data_1,2.0,2.0
175,1069,84,11019,111506266,data_2,550.29,550.29
175,1069,84,11019,112362594,data_1,2.0,2.0
175,1069,84,11019,112362594,data_2,506.57,506.57
175,1069,84,11019,112362616,data_1,1.0,1.0
175,1069,84,11019,112362616,data_2,223.76,223.76
175,1069,84,11019,115752415,data_1,1.0,1.0
175,1069,84,11019,115752415,data_2,172.99,172.99
175,1069,84,11019,115752784,data_1,2.0,2.0
175,1069,84,11019,115752784,data_2,561.06,561.06
175,1069,84,11019,115753012,data_1,1.0,1.0
175,1069,84,11019,115753012,data_2,260.49,260.49
175,1069,85,13594,101272193,data_1,1.0,1.0
175,1069,85,13594,101272193,data_2,671.27,671.27
175,1069,85,13594,101488757,data_1,2.0,2.0
175,1069,85,13594,101488757,data_2,2746.07,2746.07
175,1069,85,13594,113942470,data_1,1.0,1.0
175,1069,85,13594,113942470,data_2,1099.9,1099.9
175,1069,85,13594,113942559,data_1,1.0,1.0
175,1069,85,13594,113942559,data_2,1147.01,1147.01
175,1069,85,13594,113942819,data_1,1.0,1.0
175,1069,85,13594,113942819,data_2,985.57,985.57
175,1069,85,13594,115030379,data_1,1.0,1.0
175,1069,85,13594,115030379,data_2,1143.71,1143.71
175,1069,85,13594,115030409,data_1,1.0,1.0
175,1069,85,13594,115030409,data_2,1099.9,1099.9
175,1069,90,14159,122881646,data_1,1.0,1.0
175,1069,90,14159,122881646,data_2,74.86,74.86
175,1069,91,12120,101571925,data_1,1.0,1.0
175,1069,91,12120,101571925,data_2,238.79,238.79
175,1069,91,12120,101571933,data_1,1.0,1.0
175,1069,91,12120,101571933,data_2,250.15,250.15
175,1869,22,14605,121250375,data_1,1.0,1.0
175,1869,22,14605,121250375,data_2,25.33,25.33
175,1869,30,13731,101735496,data_1,7.0,7.0
175,1869,30,13731,101735496,data_2,94.6,94.6
175,1869,30,13731,115200048,data_1,3.0,3.0
175,1869,30,13731,115200048,data_2,36.52,36.52
175,1869,30,13731,122756906,data_1,1.0,1.0
175,1869,30,13731,122756906,data_2,11.13,11.13
175,1869,32,11688,101746006,data_1,1.0,1.0
175,1869,32,11688,101746006,data_2,24.62,24.62
175,1869,34,12225,105028883,data_1,1.0,1.0
175,1869,34,12225,105028883,data_2,10.54,10.54
175,1869,34,12948,116283397,data_1,3.0,3.0
175,1869,34,12948,116283397,data_2,76.5,76.5
175,1869,34,14771,122754148,data_1,5.0,5.0
